Time,C1 True RMS (?),C1 AC RMS (?),Position,Strain
22.8,0.478240153,0.478209885,3.931648899,0.03211489
22.9,0.784615281,0.784603366,3.92700771,0.030896511
23,0.601480186,0.601455874,3.92092826,0.029300567
23.1,0.676000302,0.675976737,3.913858682,0.0274447
23.2,1.166288065,1.166157349,3.905699357,0.025302759
23.3,0.666702337,0.666672541,3.896698272,0.022939843
23.4,0.673092784,0.673082639,3.887160639,0.020436076
23.5,0.653744222,0.653713267,3.877249968,0.017834381
23.6,0.943968946,0.943943125,3.867207279,0.01519803
23.7,0.751119838,0.751085038,3.857080111,0.012539501
23.8,0.806840079,0.806800231,3.847617874,0.010055527
23.9,0.669114567,0.669060719,3.838665841,0.007705488
24,0.463965996,0.463941331,3.830647011,0.005600429
24.1,0.372915618,0.372877051,3.823538675,0.003734388
24.2,0.640477222,0.640438688,3.817741125,0.002212446
24.3,0.983989676,0.983983802,3.813241945,0.001031346
24.4,0.613689051,0.613669463,3.810229774,0.000240608
24.5,0.861133213,0.86104892,3.808763657,-0.000144269
24.6,0.929684873,0.929667158,3.80888659,-0.000111997
24.7,0.543248304,0.543198134,3.810557697,0.000326692
24.8,1.150364458,1.150363813,3.813793631,0.001176172
24.9,0.729224794,0.729207385,3.818340955,0.00236991
25,0.770378812,0.770339238,3.824384675,0.003956475
25.1,0.8620305,0.861915665,3.831637745,0.005860511
25.2,1.055175095,1.055086836,3.839754982,0.007991403
25.3,0.451513968,0.451498761,3.84873245,0.010348119
25.4,0.395509073,0.39548162,3.858374545,0.012879309
25.5,0.477757108,0.477736755,3.86828552,0.015481083
25.6,1.017453913,1.017312315,3.87841299,0.018139691
25.7,0.780975751,0.780972292,3.88847203,0.020780335
25.8,0.674878056,0.674866647,3.897893996,0.023253738
25.9,1.036937958,1.036923915,3.90685481,0.025606082
26,0.730475671,0.730465569,3.914798244,0.027691349
26.1,0.940059542,0.940051515,3.921908699,0.029557946
26.2,0.927557167,0.927556242,3.927617532,0.031056598
26.3,0.696120644,0.696106054,3.932163948,0.032250098
26.4,0.715640581,0.715632912,3.935032595,0.033003159
26.5,0.957769837,0.957705031,3.936616195,0.033418877
26.6,0.817714718,0.817674393,3.936588036,0.033411485
26.7,0.603479359,0.603432511,3.934902092,0.0329689
26.8,0.732623122,0.732623117,3.931697952,0.032127767
26.9,0.807180071,0.80715732,3.926995295,0.030893252
27,0.687696514,0.68768818,3.921119019,0.029350644
27.1,0.600060648,0.600037211,3.913895017,0.027454238
27.2,0.851683589,0.851628751,3.9056606,0.025292584
27.3,0.775317834,0.775262887,3.896670415,0.02293253
27.4,0.884781815,0.884751446,3.887108862,0.020422484
27.5,1.169001329,1.168972742,3.877178812,0.017815702
27.6,0.843652521,0.843642085,3.867138545,0.015179986
27.7,0.71030388,0.710283764,3.857272081,0.012589896
27.8,0.719829388,0.719794121,3.847609396,0.010053301
27.9,0.880108861,0.880061617,3.838691275,0.007712165
28,0.813885319,0.81383818,3.830614007,0.005591765
28.1,0.507970391,0.507937964,3.823528381,0.003731685
28.2,0.679260307,0.679219418,3.817672997,0.002194562
28.3,0.758878366,0.7588607,3.813250423,0.001033572
28.4,0.804516112,0.804480547,3.810256419,0.000247603
28.5,0.748152554,0.748134931,3.808833299,-0.000125987
28.6,0.929012905,0.929002509,3.808823004,-0.00012869
28.7,0.574788747,0.574747824,3.81053196,0.000319936
28.8,1.222084687,1.22206289,3.813701582,0.001152008
28.9,0.665765183,0.665762466,3.818355186,0.002373646
29,0.612356195,0.612341386,3.824464309,0.00397738
29.1,0.671614381,0.671586798,3.831572039,0.005843262
29.2,0.592722359,0.592703092,3.839708352,0.007979162
29.3,0.459732637,0.459722612,3.848726394,0.010346529
29.4,0.381640166,0.38161816,3.858293094,0.012857927
29.5,0.41619059,0.416175297,3.868337903,0.015494835
29.6,0.770498606,0.770477378,3.87846507,0.018153363
29.7,0.902427922,0.902393467,3.888319423,0.020740274
29.8,0.714559201,0.714552162,3.897875525,0.023248889
29.9,0.751375126,0.751356769,3.906759733,0.025581123
30,0.570373815,0.570361975,3.914855472,0.027706372
30.1,0.948058563,0.948047213,3.921823918,0.02953569
30.2,0.694182905,0.694182896,3.927690505,0.031075754
30.3,0.520180214,0.520161965,3.932160617,0.032249223
30.4,0.655966258,0.655946009,3.935106477,0.033022554
30.5,0.772411731,0.772363864,3.93660045,0.033414744
30.6,0.75854226,0.758459791,3.936560179,0.033404172
30.7,0.449919848,0.449905795,3.93487151,0.032960872
30.8,0.432195165,0.432168757,3.931704007,0.032129357
30.9,0.510350884,0.510320406,3.927021638,0.030900167
31,0.95249454,0.952467936,3.921004261,0.029320518
31.1,0.650362502,0.650349765,3.913890475,0.027453046
31.2,0.677349413,0.677336808,3.905779597,0.025323823
31.3,0.76706282,0.767050965,3.896681618,0.022935471
31.4,0.503333032,0.503320706,3.88702953,0.020401658
31.5,0.482275359,0.482250031,3.877053456,0.017782794
31.6,0.493454533,0.493429109,3.867077381,0.01516393
31.7,0.588468265,0.588458764,3.857101307,0.012545065
31.8,0.839459649,0.839454526,3.847593651,0.010049168
31.9,0.99861399,0.998434298,3.838826926,0.007747775
32,0.496575008,0.496560691,3.830572524,0.005580875
32.1,0.479720887,0.479714127,3.823616796,0.003754895
32.2,0.522300248,0.522260423,3.817740822,0.002212367
32.3,0.715111094,0.715067283,3.813217721,0.001024987
32.4,0.712380924,0.712364501,3.810232196,0.000241244
32.5,0.631516716,0.63150012,3.808774557,-0.000141408
32.6,0.706224454,0.706204814,3.808975005,-8.87872E-05
32.7,0.561135655,0.561115615,3.810583132,0.000333369
32.8,0.962590121,0.962580703,3.8137794,0.001172436
32.9,0.635973846,0.635946558,3.81857683,0.002431831
33,0.527595291,0.527565014,3.824483385,0.003982388
33.1,0.593734652,0.593724779,3.831700726,0.005877044
33.2,0.976535441,0.976523936,3.83979162,0.008001021
33.3,0.793951785,0.79389136,3.848777263,0.010359883
33.4,0.526645125,0.526561517,3.858331852,0.012868101
33.5,0.667206487,0.667125921,3.8683485,0.015497617
33.6,0.825579623,0.825536535,3.878457803,0.018151456
33.7,0.913091133,0.913087457,3.888282785,0.020730656
33.8,0.660522765,0.660514945,3.897851605,0.02324261
33.9,0.773640871,0.773628206,3.90667041,0.025557674
34,0.742693775,0.742648252,3.914886357,0.027714479
34.1,0.828899601,0.828898175,3.921841783,0.02954038
34.2,0.846312214,0.846254398,3.927572416,0.031044754
34.3,0.539956849,0.539926254,3.93208068,0.032228239
34.4,0.603906075,0.603859106,3.935071353,0.033013334
34.5,0.789965711,0.78992108,3.936611956,0.033417765
34.6,0.952191826,0.952144893,3.936430281,0.033370072
34.7,0.630584857,0.630484404,3.934768561,0.032933847
34.8,0.442076972,0.441996167,3.931634668,0.032111154
34.9,0.706222458,0.706199446,3.926982578,0.030889913
35,0.942559693,0.942553875,3.921037568,0.029329262
35.1,0.802515869,0.802482446,3.913871399,0.027448038
35.2,0.690474267,0.690460944,3.905709652,0.025305461
35.3,0.882058034,0.882053796,3.896704025,0.022941353
35.4,0.539912106,0.539856661,3.887152161,0.020433851
35.5,0.588238289,0.588194105,3.877176086,0.017814986
35.6,0.539344758,0.539313273,3.867200012,0.015196122
35.7,0.575158495,0.575142419,3.857223937,0.012577258
35.8,0.701669931,0.701648629,3.847607276,0.010052745
35.9,0.951548816,0.951511897,3.838791499,0.007738475
36,0.724462244,0.724398665,3.830718772,0.005619267
36.1,0.465403151,0.465313399,3.823765466,0.003793923
36.2,0.46542156,0.46539876,3.817830751,0.002235975
36.3,0.810922485,0.810915473,3.813366392,0.001064015
36.4,0.854968398,0.854960678,3.810308197,0.000261195
36.5,0.848319119,0.848300823,3.808852072,-0.000121059
36.6,0.874623514,0.874614904,3.809035261,-7.29692E-05
36.7,0.639064581,0.639051237,3.810741794,0.000375021
36.8,0.622798443,0.62277277,3.813927162,0.001211226
36.9,0.63503113,0.635019138,3.818528686,0.002419193
37,0.55337986,0.553369754,3.824519115,0.003991767
37.1,0.663729815,0.663715633,3.831676502,0.005870685
37.2,0.819318471,0.819306413,3.839896386,0.008028524
37.3,0.493887309,0.493855331,3.848862953,0.010382378
37.4,0.388213098,0.388143975,3.858461144,0.012902042
37.5,0.344107786,0.344053817,3.868273711,0.015477983
37.6,0.340184371,0.340128158,3.87828824,0.018106943
37.7,0.342613652,0.342563579,3.888369989,0.020753548
37.8,0.366922403,0.36688431,3.897867653,0.023246823
37.9,0.46131855,0.46128605,3.906760339,0.025581282
38,0.473908487,0.473875993,3.914768874,0.027683638
38.1,0.609376905,0.609352059,3.921845416,0.029541333
38.2,0.865058052,0.865057415,3.927507013,0.031027585
38.3,0.537537092,0.537521332,3.932020727,0.0322125
38.4,0.61908156,0.619059981,3.935019273,0.032999662
38.5,0.708084299,0.708065987,3.936556848,0.033403298
38.6,0.877043589,0.877025014,3.936482362,0.033383744
38.7,0.595710956,0.595694806,3.934774617,0.032935436
38.8,0.46903962,0.46901593,3.931557456,0.032090885
38.9,0.542162539,0.542116564,3.927007104,0.030896352
39,0.629954743,0.629885039,3.92104211,0.029330454
39.1,0.48692909,0.486903203,3.913832339,0.027437785
39.2,0.508287563,0.50827427,3.905578241,0.025270964
39.3,0.619821166,0.619806771,3.89668616,0.022936664
39.4,0.726902384,0.726882484,3.887012271,0.020397128
39.5,0.871232028,0.871193069,3.877338383,0.017857591
39.6,0.465520411,0.465502387,3.866962018,0.015133645
39.7,0.451595499,0.451585235,3.857327795,0.012604522
39.8,0.370117736,0.370090183,3.847675102,0.01007055
39.9,0.383429117,0.383402558,3.838892026,0.007764865
40,0.456639085,0.456602982,3.830745418,0.005626262
40.1,0.653928289,0.653882371,3.823726103,0.00378359
40.2,1.035496963,1.035496111,3.817766559,0.002219123
40.3,0.578506643,0.578476434,3.813386073,0.001069182
40.4,0.608434132,0.60838535,3.810460198,0.000301097
40.5,0.642359151,0.64232677,3.808991053,-8.45744E-05
40.6,0.739800439,0.739780174,3.809147294,-4.3559E-05
40.7,0.594848734,0.594834212,3.810782974,0.000385831
40.8,0.396820067,0.396799848,3.813966525,0.001221559
40.9,0.432951336,0.432925412,3.818641627,0.002448841
41,0.493994347,0.493964889,3.824656582,0.004027854
41.1,0.417603846,0.417554538,3.831801858,0.005903593
