#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2NI,,,,,,
#Serial Number: SN:210321AD0E05,,,,,,
#Date Time: 2020-04-07 14:51:14.905,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (Ṽ),C1 AC RMS (Ṽ),C2 DC (V),C2 True RMS (Ṽ),C2 AC RMS (Ṽ)
10.7,-0.00140344,0.002741402,0.002354918,0.407833503,0.408236303,0.018130442
10.8,-0.000870301,0.002320236,0.002150831,0.477389714,0.478150719,0.026966112
10.9,-0.001129164,0.002403556,0.002121808,0.485721625,0.485815829,0.009566754
11,-0.000444606,0.001974629,0.001923924,0.461731884,0.461850535,0.010468237
11.1,-0.000866675,0.002021345,0.001826119,0.437591244,0.437723491,0.010759076
11.2,-0.000894782,0.002030571,0.001822795,0.411515439,0.411633936,0.009876256
11.3,-0.000944651,0.002044872,0.001813597,0.381212175,0.381593108,0.017046342
11.4,-0.001330904,0.002138785,0.001674244,0.354109342,0.354485528,0.016326768
11.5,-0.001192633,0.002111929,0.001742949,0.316002313,0.316545066,0.018528816
11.6,-0.001235701,0.002108334,0.001708249,0.280225074,0.281077219,0.021870325
11.7,-0.000878915,0.001976592,0.001770431,0.224979119,0.22617713,0.023248444
11.8,-0.000993612,0.002074679,0.001821271,0.124428253,0.129521054,0.035962663
11.9,-0.001093349,0.002042469,0.001725186,0.078652812,0.078770589,0.00430591
12,-0.000855794,0.002002008,0.001809877,0.07844201,0.078728442,0.006709596
12.1,-0.000647707,0.001935533,0.001823942,0.078044643,0.078847968,0.011226565
12.2,-0.000702562,0.001954955,0.00182435,0.077757935,0.078231203,0.008592129
12.3,-0.000217478,0.001902177,0.001889704,0.076890951,0.077556792,0.010140887
12.4,-0.000495382,0.001907978,0.001842546,0.076882721,0.077503797,0.009792132
12.5,-0.000271427,0.001905358,0.001885926,0.076358689,0.076961014,0.009609802
12.6,-0.000203878,0.001960902,0.001950274,0.076667346,0.07719828,0.009038383
12.7,-0.000812273,0.001975412,0.001800685,0.076522849,0.076724115,0.005553675
12.8,-0.000654507,0.001940584,0.001826879,0.075436834,0.075898179,0.0083557
12.9,-0.000724323,0.001959434,0.001820642,0.075379675,0.076398438,0.012434869
13,-0.000617332,0.001965994,0.001866557,0.074390601,0.075012855,0.009641935
13.1,-0.00083086,0.002015708,0.001836505,0.073741278,0.074092945,0.007210305
13.2,-0.000656321,0.001937705,0.001823169,0.072756776,0.073422042,0.00986143
13.3,-0.000594665,0.001920026,0.001825616,0.071357531,0.072311967,0.011709967
13.4,-0.00053981,0.001905556,0.001827498,0.07015674,0.071153706,0.011869358
13.5,-0.001054815,0.00200143,0.001700908,0.068977442,0.069358186,0.007257446
13.6,-0.000815446,0.001954374,0.001776126,0.067606547,0.067842982,0.005659068
13.7,-0.000792779,0.001968067,0.00180133,0.065171129,0.065927029,0.009954754
13.8,-0.000570184,0.001908827,0.001821678,0.0582188,0.059538706,0.012467109
13.9,-0.000479061,0.001903423,0.001842151,0.061314516,0.062202379,0.010472155
14,-0.000788245,0.001966175,0.001801254,0.078131067,0.078700008,0.00944604
14.1,-0.000394285,0.001913811,0.001872755,0.092897678,0.093261935,0.008234678
14.2,-0.000230626,0.001901919,0.001887884,0.107320879,0.107594486,0.007668266
14.3,-0.000396551,0.001917858,0.001876413,0.124570921,0.124791118,0.00741003
14.4,-0.000799579,0.001988336,0.001820482,0.139000067,0.139329223,0.009571508
14.5,-0.000684428,0.001997687,0.001876783,0.155507961,0.156052335,0.013023255
14.6,-0.000934224,0.002033989,0.001806747,0.170882741,0.171178126,0.01005186
14.7,-0.00053437,0.00195264,0.001878098,0.18842635,0.188575277,0.007493048
14.8,-0.000184837,0.001959457,0.00195072,0.20715566,0.20740778,0.010223476
14.9,-0.000248759,0.001996788,0.001981232,0.225100296,0.225371539,0.011053853
15,-0.000899316,0.002187987,0.001994622,0.244748261,0.245011285,0.011349824
15.1,-0.001362639,0.002399565,0.001975127,0.264593309,0.264796077,0.010360669
15.2,-0.000882995,0.00219938,0.002014347,0.287639245,0.287828679,0.010440924
15.3,-0.000793232,0.002269936,0.002126826,0.316702393,0.316911042,0.011497942
15.4,-0.000721149,0.002235227,0.002115699,0.348685209,0.348918695,0.012762467
15.5,-0.000856248,0.002457975,0.002304014,0.383905951,0.384206362,0.015190441
15.6,-8.65E-05,0.002225126,0.002223445,0.434634538,0.435430126,0.026309934
15.7,4.55E-05,0.002051913,0.00205141,0.490724156,0.491132521,0.020023896
15.8,0.000349662,0.002081258,0.002051675,0.472529394,0.472628115,0.009659551
15.9,0.000652499,0.00205421,0.001947825,0.448551999,0.448688249,0.011056613
16,-7.77E-07,0.00198004,0.00198004,0.421233335,0.421589514,0.017326162
16.1,-5.38E-05,0.00193075,0.00193,0.395578675,0.395867887,0.015129292
16.2,-0.000263267,0.001906615,0.001888351,0.368191877,0.368339573,0.010429875
16.3,-0.000435086,0.001908427,0.00185817,0.335139508,0.335357442,0.012088162
16.4,-0.000778272,0.001908591,0.001742703,0.300577234,0.300844284,0.012673168
16.5,-0.000582878,0.001917441,0.0018267,0.250348443,0.250932923,0.017116917
16.6,-0.000687602,0.00193905,0.001813041,0.183803354,0.186191225,0.029723721
16.7,-6.56E-05,0.001907895,0.001906766,0.091411094,0.093760397,0.020857226
16.8,-0.000379324,0.001922245,0.001884446,0.085050472,0.085486155,0.008619743
16.9,-0.000433726,0.001973687,0.001925441,0.084087462,0.084699281,0.010162032
17,-0.000407885,0.001961282,0.0019184,0.081981735,0.08241443,0.008434065
17.1,0.000382756,0.001966256,0.001928642,0.082474215,0.082916096,0.008548858
17.2,-0.000538903,0.001932018,0.001855338,0.082357611,0.082540267,0.005488134
17.3,-0.000491301,0.001939235,0.001875968,0.081861473,0.082082479,0.006019352
17.4,7.49E-05,0.001933748,0.001932295,0.081173282,0.081336165,0.005144904
17.5,-0.000247399,0.001888662,0.001872388,0.080849535,0.081023055,0.005299826
17.6,-0.000640907,0.001913825,0.001803321,0.081358476,0.081607165,0.00636614
17.7,-0.000746084,0.001956173,0.001808306,0.080817069,0.081445962,0.010101788
17.8,-0.000373431,0.00193275,0.001896332,0.080464971,0.081044411,0.009673927
17.9,-0.000318575,0.001898083,0.001871157,0.080162259,0.080383345,0.005957722
18,-0.000808646,0.001982756,0.001810363,0.080040625,0.08025643,0.00588157
18.1,8.58E-05,0.001947539,0.001945648,0.080159973,0.080564719,0.008065528
18.2,-0.000214758,0.001911425,0.001899322,0.079839884,0.080318172,0.008752241
18.3,0.000254458,0.001933129,0.001916309,0.079107795,0.080349155,0.014069239
18.4,8.74E-06,0.001927175,0.001927155,0.078836634,0.080421174,0.015885538
18.5,-0.000232439,0.001893654,0.001879334,0.07846213,0.078780386,0.007074132
18.6,-0.000285027,0.001913848,0.001892505,0.077898774,0.078318832,0.00810065
18.7,-0.000416952,0.00189884,0.001852497,0.077581429,0.077951426,0.007585954
18.8,-0.000407885,0.00191788,0.001874004,0.077718152,0.078271843,0.009293558
18.9,-0.000319029,0.001918307,0.001891592,0.076488554,0.076894078,0.007886716
19,-0.000552957,0.001907065,0.00182514,0.075654951,0.076056926,0.007809246
19.1,-0.000848541,0.002016475,0.001829249,0.075098911,0.075633064,0.008972954
19.2,-0.000951904,0.002065953,0.001833586,0.073604554,0.074117318,0.008703243
19.3,-0.000230172,0.001916978,0.00190311,0.07345777,0.073833733,0.007441515
19.4,-0.000306335,0.001915859,0.00189121,0.072275728,0.073360591,0.012569626
19.5,-0.000592852,0.001935151,0.001842101,0.071046587,0.071436264,0.007451329
19.6,-0.000748804,0.001922773,0.001770974,0.070149881,0.070691713,0.008735697
19.7,-0.000890702,0.001959436,0.00174529,0.068110001,0.069765041,0.015105915
19.8,-0.00100948,0.002028919,0.001759961,0.065330259,0.066483646,0.012330147
19.9,-0.001550779,0.002350086,0.001765783,0.059169006,0.061465655,0.016644982
20,-0.001079749,0.00206246,0.001757238,0.069119653,0.070546492,0.014116697
20.1,-0.001010386,0.00198092,0.001703867,0.096577327,0.097081157,0.009877802
20.2,-0.001241141,0.002103578,0.001698414,0.122694744,0.12329332,0.01213436
20.3,-0.001485043,0.002242642,0.001680503,0.151053697,0.152031591,0.017215845
20.4,-0.001439708,0.00238236,0.001898126,0.181055163,0.181619649,0.014308217
20.5,-0.001141404,0.002174716,0.001851104,0.215043563,0.215558508,0.014890813
20.6,-0.000982732,0.00218295,0.001949233,0.24905254,0.249860536,0.020077841
20.7,-0.001032147,0.002245595,0.001994334,0.295199285,0.295669647,0.016670997
20.8,-0.001035321,0.002446846,0.002217017,0.349247193,0.349977713,0.022600835
20.9,-0.000824966,0.002496344,0.002356091,0.42959817,0.431567165,0.041178036
21,-0.000456393,0.002214145,0.002166598,0.472299844,0.47239584,0.009522928
21.1,-0.00092017,0.002313921,0.002123091,0.450761984,0.450980576,0.014039739
21.2,-0.001336798,0.002302532,0.001874733,0.423225659,0.423771135,0.021494573
21.3,-0.001754333,0.002529856,0.001822769,0.400277579,0.400698151,0.018353974
21.4,-0.002255284,0.002864265,0.001765703,0.375428171,0.375849323,0.017787707
21.5,-0.001467816,0.002209364,0.001651305,0.344531828,0.344808193,0.013802507
21.6,-0.001535365,0.002252552,0.001648225,0.313323627,0.313622554,0.013689804
