Time,Position,Strain,
135.748,0.331090387,,
135.793,0.326710787,,
135.838,0.32233217,,
135.883,0.317954507,,
135.928,0.313590374,,
135.973,0.30920675,,
136.018,0.304872092,,
136.063,0.300493684,,
136.108,0.29612824,,
136.153,0.291760411,,
136.154,0.291648206,,
136.199,0.2872996,,
136.244,0.282929566,,
136.289,0.278585758,,
136.296,0.277872023,,
136.341,0.273567644,,
136.386,0.269139674,,
136.431,0.265114543,,
136.436,0.26504111,,
136.481,0.265122232,,
136.526,0.265184966,,
136.571,0.265194294,,
136.616,0.265243378,,
136.661,0.26524004,,
136.706,0.26525962,,
136.751,0.265340713,,
136.796,0.265301314,,
136.841,0.265343127,,
136.886,0.265327212,,
136.931,0.265339431,,
136.976,0.265377071,,
137.021,0.265355822,,
137.066,0.265372541,,
137.111,0.265410182,,
137.156,0.265382048,,
137.201,0.265457955,,
137.246,0.265392062,,
137.291,0.265435126,,
137.336,0.265441146,,
137.381,0.265411076,,
137.426,0.265431282,,
137.471,0.265404102,,
137.516,0.26544061,,
137.561,0.265460965,,
137.606,0.265456286,,
137.651,0.265445408,,
137.696,0.265485284,,
137.741,0.265461531,,
137.786,0.26546627,,
137.831,0.265499917,,
137.876,0.265479681,,
137.919,0.265470978,,
137.938,0.266320196,,
137.95,0.267569926,,
138.026,0.275049713,,
138.071,0.279406336,,
138.083,0.280594375,,
138.128,0.284956124,,
138.177,0.289752093,,
138.222,0.294126239,,
138.267,0.298491474,,
138.312,0.302875217,,
138.357,0.307273414,,
138.402,0.311644312,,
138.451,0.316411998,,
138.496,0.320775028,,
138.541,0.325116392,,
138.606,0.331413712,,
138.651,0.335795488,,
138.696,0.340191986,,
138.741,0.34458911,,
138.786,0.34890702,,
138.831,0.353245671,,
138.876,0.357622649,,
138.911,0.361025687,,
138.956,0.365371849,,
139.007,0.370332207,,
139.052,0.374801453,,
139.097,0.379056151,,
139.142,0.383423711,,
139.187,0.387773867,,
139.232,0.392167862,,
139.277,0.39652505,,
139.322,0.400873925,,
139.367,0.405245895,,
139.412,0.409571613,,
139.421,0.410459543,,
139.428,0.410945887,,
139.435,0.410578067,,
139.48,0.405975605,,
139.525,0.401531364,,
139.587,0.395421172,,
139.632,0.391042437,,
139.677,0.386672731,,
139.722,0.382287438,,
139.767,0.377859201,,
139.812,0.373497362,,
139.857,0.369123037,,
139.902,0.364697094,,
139.947,0.360313203,,
139.992,0.355974819,,
140.037,0.351571973,,
140.082,0.347182359,,
140.127,0.342852052,,
140.172,0.338472452,,
140.217,0.334044751,,
140.262,0.329644438,,
140.307,0.325279262,,
140.352,0.320957597,,
140.36,0.320148583,,
140.405,0.315772172,,
140.45,0.311454292,,
140.495,0.30705848,,
140.54,0.30269989,,
140.585,0.298310664,,
140.63,0.293974903,,
140.675,0.289576885,,
140.72,0.285242822,,
140.765,0.280809936,,
140.81,0.276517418,,
140.855,0.272119668,,
140.9,0.267749396,,
140.93,0.265038517,,
140.933,0.26497772,,
140.978,0.265140709,,
141.023,0.265149322,,
141.068,0.265229252,,
141.113,0.26522195,,
141.158,0.265223679,,
141.203,0.265321758,,
141.248,0.26527774,,
141.293,0.265284625,,
141.338,0.26530039,,
141.383,0.265336838,,
141.428,0.265300777,,
141.473,0.265352782,,
141.518,0.265356746,,
141.563,0.265387651,,
141.608,0.265397963,,
141.653,0.265398708,,
141.698,0.265379336,,
141.743,0.265439716,,
141.788,0.26540288,,
141.833,0.265441117,,
141.878,0.265434053,,
141.923,0.26544663,,
141.968,0.265458968,,
142.013,0.265430954,,
142.058,0.265435722,,
142.103,0.265462038,,
142.148,0.265506026,,
142.193,0.265483138,,
142.238,0.265471127,,
142.283,0.265467432,,
142.328,0.265485075,,
142.373,0.265481052,,
142.418,0.26546624,,
142.428,0.265497115,,
142.523,0.274770704,,
142.568,0.279155489,,
142.574,0.279761788,,
142.619,0.284110126,,
142.664,0.288472947,,
142.717,0.293692466,,
142.762,0.298062887,,
142.822,0.303893592,,
142.867,0.308233883,,
142.929,0.31428897,,
142.974,0.318669911,,
143.019,0.323082056,,
143.064,0.327386733,,
143.109,0.33174875,,
143.154,0.336141433,,
143.199,0.340512182,,
143.213,0.341868099,,
143.258,0.346258249,,
143.303,0.350643482,,
143.348,0.354984995,,
143.393,0.359341468,,
143.438,0.363690134,,
143.483,0.368041898,,
143.528,0.372401501,,
143.573,0.376740451,,
143.618,0.381127115,,
143.663,0.385527517,,
143.708,0.389870937,,
143.753,0.394249077,,
143.798,0.398575927,,
143.843,0.402923758,,
143.888,0.407285358,,
143.928,0.410970802,,
143.93,0.410926546,,
143.949,0.408940668,,
143.95,0.408845569,,
143.965,0.407328482,,
144.01,0.402949686,,
144.055,0.398579325,,
144.1,0.3940843,,
144.145,0.389725055,,
144.19,0.385372306,,
144.235,0.380938674,,
144.28,0.376592959,,
144.325,0.372227992,,
144.37,0.367785062,,
144.415,0.363430496,,
144.46,0.359058435,,
144.505,0.354642774,,
144.55,0.350272115,,
144.595,0.345904495,,
144.64,0.341546949,,
144.685,0.337159838,,
144.73,0.332791116,,
144.775,0.328387376,,
144.82,0.323995437,,
144.865,0.319625612,,
144.91,0.315277662,,
144.955,0.310890641,,
145,0.306528714,,
145.045,0.302172002,,
145.09,0.297779557,,
145.135,0.293453899,,
145.18,0.28902131,,
145.225,0.284716871,,
145.27,0.280315515,,
145.315,0.275962946,,
145.36,0.271626737,,
145.405,0.267204937,,
145.43,0.265078333,,
145.435,0.265009042,,
145.48,0.265150037,,
145.525,0.26519328,,
