"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)","Rotation(Rotary:Rotation) (deg)","Torque(Rotary:Torque) (N·m)","Force(Linear:External Load Cell) (lbf)",
0.74,0.74,1,1,1,0,0,0.340226676021934,0.382214777909276,0.000331420451402664,-0.123824082200481,0.530638376565505,
0.75,0.75,1,1,1,0,0,0.340203579222356,1.15914268245966,7.14557245373726E-05,-0.124599593979379,0.533452287276673,
0.76,0.76,1,1,1,0,0,0.340124603068962,-0.450368962722631,-0.000113407149910927,-0.0990960946779718,0.530516652156308,
0.77,0.77,1,1,1,0,0,0.340106036222334,0.75988470173425,7.71554186940193E-05,-0.0756876346598549,0.529948775656627,
0.78,0.78,1,1,1,0,0,0.340097959793062,0.786576406253938,-8.20588320493698E-05,-0.108379086419401,0.53248813123519,
0.79,0.79,1,1,1,0,0,0.340094800746926,0.103283671710864,0.000452077947556972,-0.110820317528006,0.532005797099586,
0.8,0.8,1,1,1,0,0,0.340054180181991,0.0746548162699989,0.000307741574943066,-0.11613104744401,0.529047204774272,
0.81,0.81,1,1,1,0,0,0.340046371973618,0.469405195813434,0.000652573071420193,-0.110497275308031,0.530504824306294,
0.82,0.82,1,1,1,0,0,0.340041693009059,-0.0789389000379878,0.000578686594963074,-0.120625227644378,0.529348488985255,
0.83,0.83,1,1,1,0,0,0.340020622767379,0.428631894212878,-3.19769605994225E-05,-0.0939326804323142,0.530187241876788,
0.842,0.842,1,1,1,0,0,0.339970942296546,0.833254292873852,0.000323373824357986,-0.101741463215486,0.528916912158765,
0.852,0.852,1,1,1,0,0,0.33993279532434,0.973623228854569,1.50036066770554E-05,-0.103063095229455,0.529110255596787,
0.862,0.862,1,1,1,0,0,0.339886571922863,-0.0304915005573823,0.000467165373265743,-0.141110523860898,0.527853290417953,
0.872,0.872,1,1,1,0,0,0.339856918612437,0.557005395643225,0.000439085997641087,-0.0715996248077294,0.525170370817372,
0.882,0.882,1,1,1,0,0,0.339803095618841,0.474397084725699,0.000233645550906658,-0.113835027496176,0.525756641020814,
0.892,0.892,1,1,1,0,0,0.339789744178569,-0.203102823505007,-2.31759622693062E-05,-0.122295155993239,0.522876233578072,
0.902,0.902,1,1,1,0,0,0.339780892888924,0.947024656590707,-6.08107075095177E-05,-0.102722164678081,0.523987073586262,
0.912,0.912,1,1,1,0,0,0.339722092907548,1.05194745600411,0.000787815079092979,-0.10584210012507,0.525060427691849,
0.922,0.922,1,1,1,0,0,0.33968567447002,-0.0329315656600195,0.000287038274109364,-0.143112964722827,0.524239044044628,
0.932,0.932,1,1,1,0,0,0.339638646405848,0.930875523430505,0.000188634730875492,-0.0938074621125193,0.527796060387768,
0.942,0.942,1,1,1,0,0,0.339610811037066,0.238176431049021,3.10130417346954E-06,-0.108810510882559,0.527964211436587,
0.952,0.952,1,1,1,0,0,0.339580353063946,-0.0389851622886995,6.15231692790985E-05,-0.145201690477388,0.524087191214332,
0.962,0.962,1,1,1,0,0,0.339523192210281,1.01594252590183,0.000136625021696091,-0.118072457528224,0.523658454934499,
0.972,0.972,1,1,1,0,0,0.339505430026348,0.482872120005851,0.000804997980594635,-0.0854199391958417,0.52539798708063,
0.982,0.982,1,1,1,0,0,0.339512791199891,0.1787207989298,0.00089024193584919,-0.126448405642232,0.528021255201418,
0.992,0.992,1,1,1,0,0,0.339500900073399,0.714790063463375,4.18256968259811E-05,-0.11926781896761,0.527387394199888,
1.002,1.002,1,1,1,0,0,0.339482571645347,0.551566471902996,0.000433512032032013,-0.0797356588300291,0.52680680508976,
1.012,1.012,1,1,1,0,0,0.339408334061156,-0.26717781551319,0.000311178155243397,-0.125577138677609,0.525672309381542,
1.023,1.023,1,1,1,0,0,0.339366074368509,0.603552897104984,0.000378484837710857,-0.125871770018303,0.527364250729585,
1.033,1.033,1,1,1,0,0,0.339366104170831,1.15299595357515,0.000399774871766567,-0.0830639407250801,0.528343540831126,
1.043,1.043,1,1,1,0,0,0.33932187752493,0.463444731440579,0.000262521207332611,-0.129982929475769,0.525288230220462,
1.053,1.053,1,1,1,0,0,0.339265253113062,0.0808760509591655,0.000836723484098911,-0.116227854884524,0.520608173488408,
1.063,1.063,1,1,1,0,0,0.339250739382231,1.12695617484624,0.00065353699028492,-0.107701434335805,0.520441931659474,
1.073,1.073,1,1,1,0,0,0.339157815742124,0.10831281352546,3.5497359931469E-05,-0.143226608239952,0.519328856467029,
1.083,1.083,1,1,1,0,0,0.33911779122363,-0.518895676559289,3.76766547560692E-05,-0.0874865675998506,0.516776089782938,
1.093,1.093,1,1,1,0,0,0.339055653382185,1.29057092188109,-7.24196434020996E-05,-0.102734791735539,0.516135569794983,
1.103,1.103,1,1,1,0,0,0.3389929194943,0.468380740999349,0.000505470670759678,-0.137144575564203,0.518730991245266,
1.113,1.113,1,1,1,0,0,0.33890258865621,-0.193193551485137,0.000477475114166737,-0.113439379695816,0.516179574984996,
1.123,1.123,1,1,1,0,0,0.338859732917123,0.867992624296893,4.60585579276085E-05,-0.0794494455276409,0.519150879920758,
1.139,1.139,1,1,1,0,0,0.338767822555965,0.130645928472498,0.000260802917182446,-0.133999386002297,0.519719315216502,
1.149,1.149,1,1,1,0,0,0.338745172791217,0.0228360291284977,0.000885380432009697,-0.0849180136618742,0.519559918639347,
1.161,1.161,1,1,1,0,0,0.338682081275468,0.368114554377243,0.000264616683125496,-0.119797103126071,0.512736133941791,
1.171,1.171,1,1,1,0,0,0.338616843992532,1.47065145174595,0.00049687922000885,-0.0588694463801838,0.514708032117722,
1.181,1.181,1,1,1,0,0,0.338575061137038,0.212062146515453,0.00030966941267252,-0.130182857885525,0.515564293952582,
1.191,1.191,1,1,1,0,0,0.338544275338375,0.59654935146688,0.000221114605665207,-0.0777353224776763,0.51713786366781,
1.201,1.201,1,1,1,0,0,0.338486727054524,0.607073296375201,0.000618710182607174,-0.0765241772164674,0.515966766817424,
1.211,1.211,1,1,1,0,0,0.338443066652742,-0.105891374873988,-0.000132978893816471,-0.161555834395466,0.517375864224585,
1.221,1.221,1,1,1,0,0,0.338393863019061,0.315941864663603,0.00106437597423792,-0.12246877803329,0.51608341549571,
1.231,1.231,1,1,1,0,0,0.338320817527751,0.521708270685229,0.000315536744892597,-0.103070461012973,0.515619242232174,
1.241,1.241,1,1,1,0,0,0.33830338316936,-0.104475764585435,0.000269855372607708,-0.115366058212995,0.510204042712055,
1.251,1.251,1,1,1,0,0,0.338262881813714,0.372696661363874,0.000540465116500854,-0.12387143366595,0.507670461359483,
1.261,1.261,1,1,1,0,0,0.33820148903032,1.21263785020602,0.000158334150910378,-0.0742029031537161,0.504702322934748,
1.271,1.271,1,1,1,0,0,0.338154073535961,-0.290777529139459,0.000404720194637775,-0.08675945954121,0.507592509308604,
